Restaurant_Name,Platform,Language,Review_Text,human_food,human_service,human_atmos,human_price,annotation_note
October : Japanese Home Cooking,Google Maps,Thai,"🔴 ออคโทเบอร์โฮมคุกกิ้งคาเฟ่ (October Home Cooking Café) เป็นโฮมคุกกิ้งคาเฟ่ร้านแรกของวันที่ 9 มีนาคม ในทริป DozzDIY’s Guide #Urbanista 8-11 March 2020 ซึ่งมีเมมเบอร์ของ DozzDIY 🧒🏻👩🏻‍🦱 เคยไปมาครั้งหนึ่งเมื่อ 7 ปีที่แล้ว (ตอนนั้นไปดื่มกาแฟ☕️กับรับประทานขนม🍮ต่างๆ) เมื่อก่อนร้านยังไม่ได้ขายอาหารจริงจังขนาดนี้ และเราเองก็เฝ้ามองสิ่งที่เปลี่ยนแปลงมาเรื่อยๆของร้าน จนถึงจุดที่ร้านเริ่มจริงจังกับอาหารญี่ปุ่นซึ่งน่าจะเป็นอะไรที่น่าสนใจและควรค่าแก่การมาเยือน ร้านจึงถูกระบุไว้ว่าเป็น 1 ในร้านที่เราต้องมา
 
 🔴 ดังนั้นการมาเยือนเราจึงละเครื่องดื่มประเภทกาแฟไว้ก่อนเดี๋ยวไปร้านอื่นต่อไม่ไหว แต่ก็ไม่ได้หมายความว่าร้านทำได้ไม่ดีนะครับ ออคโทเบอร์โฮมคุกกิ้งคาเฟ่ทำเมนูเครื่องดื่ม🍹ออกมาได้ดีพอตัวเลยทีเดียว ใครที่จะมาดื่มกาแฟก็แนะนำไปทางเมนูร้อน ลองมองไปรอบๆร้านจะเห็นโหลกาแฟร้อนเย็น,​ เครื่องทำกาแฟแบบคันโยก และ กรอบรูปที่เป็นซองกาแฟของโรงคั่วหัวสมัยใหม่อย่าง ☕️☕️ สแควร์ไมล์ (Square Mile), เวิร์ฟ (Verve) หรือสตัมป์ทาวน์ (Stumptown) ติดไว้ข้างผนังร้านอัดกรอบอย่างดีด้วย
 
 🔴 ตำแหน่งที่ตั้งของร้านจะอยู่ตรงข้ามรั้วที่เป็นสวนเกษตรของมหาวิทยาลัยเชียงใหม่ (ไร่ฟอร์ดข้างหอประชุม มช.) ซึ่งร้านก็จะติดกับร้านถ่ายเอกสารมากมาย จุดสังเกตคือกันสาดสีเขียวที่เห็นแล้วก็อยากจะไปทำความสะอาดให้อยู่เหมือนกัน เพราะจำได้ว่าเกือบสิบปีก่อนที่ไปสวยงามมาก แต่ป้ายก็ยังสดใสดีอยู่ บรรยากาศด้านในจะไม่สว่างมากนัก สิ่งที่พบเป็นอย่างแรกคือบาร์กาแฟทางด้านขวา โต๊ะนั่งด้านในมีทั้งจุดที่เป็นโซฟาและเก้าอี้ไม้🪑 บริเวณร้านเป็นแบบห้องเดียวไม่กว้างขวางนัก ให้อารมณ์ร้านกาแฟยุโรป มีตีมสีของร้านที่เป็นจุดสังเกตคือ เขียวใบ Shamrock, ขาวครีมเป็นพื้นหลัง และ น้ำตาลอมแดง
 
 🔴 เมนูที่เราสั่งมาวันนี้ มี 1 เมนูที่ต้องแจ้งล่วงหน้าก่อน 1 วัน คือ คัตสึด้ง (カツ丼) หรือ ข้าวหน้าหมูทอด 🐷ต่อมาเป็นข้าวหน้าเนื้อออสเตรเลียนวากิว🐮 และสุดท้ายคือ ข้าวหน้าเนื้ออบภูเขาไฟ 🗻ไม่ว่าอย่างไรก็ตามทุกเมนูนั้นทางที่ดีควรโทรสอบถามร้านก่อนทุกครั้งเพื่อยืนยันว่าจะไม่พลาดโอกาสที่อาจเสียไป
 
 —————————————
 
 ข้าวหน้าหมูทอด (カツ丼 - Deep-Fired Pork with Rice)
 ระดับความพอใจ : ☆☆☆☆😋
 ความคิดเห็นจาก DozzDIY : ทอดน้ำมันได้กรอบแห้ง มีเนื้อสัมผัสแป้งที่กรุบกรอบในขณะที่เนื้อด้านในมีความฉ่ำเนื้อฉ่ำเนื้อเป็นอย่างดี
 
 �ข้าวหน้าเนื้อสเต็ก (ビーフステーキ丼 - Beef Steak with Rice)
 ระดับความพอใจ : ☆☆☆☆😋
 ความคิดเห็นจาก DozzDIY : เนื้อนุ่มละมุนลิ้น มีความชุ่มฉ่ำแบบกึ่งสุกกึ่งดิบเรียกว่าย่างมาได้ถูกต้องไข่ออแกนิกออนเซ็นก็ดี ทุกอย่างลงตัวไปหมดเลย จริงๆอยากกินเพียวๆไม่ต้องไปกินอะไรกับข้าวแล้วเอาไวน์มาเลยจะดีกว่า แต่นับว่าสมบูรณ์แล้ว
 
 ข้าวเนื้ออบภูเขาไฟ (ローストビーフ丼 - Roasted Australian Wagyu Volcano Rice Bowl)
 ระดับความพอใจ : ☆☆☆☆😋
 ความคิดเห็นจาก DozzDIY : เมนูนี้เรานั่งดูในเพจของร้านมานานแล้ว อาจจะเป็นเพราะเหตุผลที่หาทานไม่ง่ายนักในเชียงใหม่ เข้าใจว่าใช้กรรมวิธีในการอบค่อนข้างนานและมีกระบวนการต่างๆที่ทำให้เนื้อยังคงมีความนุ่มอร่อย มีรสชาติดี อยากจะให้มีแต่เนื้อแบบนี้อยู่ในชามจริงๆ
 
 🔴 อย่างวันที่ไปทานอาหารกัน เราก็ค่อนข้างจะมีความคิดว่าร้านออคโทเบอร์เขากลายไปเป็นผู้เชียวชาญด้านเนื้อไปตั้งแต่เมื่อไร
 อีกอย่างเราไม่ได้ทานอย่างอื่นด้วย มีอีกหลายสิ่งที่น่าค้นหาที่นี่ และคิดว่าจะเป็นปลายทางของการมาเยือนเชียงใหม่อีกครั้ง",POS,N/A,NEU,N/A,
จงเฮง ก๋วยเตี๋ยวต้มยำ สาขานิมมาน ซอย 6,Google Maps,Thai,ร้านอาหาร มีของทานเล่นเยอะ บรรยากาศดีมาก จอดรถสะดวก,POS,POS,POS,N/A,
S&A Beverages Nimman,Google Maps,Thai,อาหารอร่อยมากกก บรรยากาศดีค่ะ รวมๆดีมากเลย,POS,N/A,POS,N/A,
อังเคิลคานิ,Google Maps,English,Nice vibes and good tasted steak rices.,POS,N/A,POS,N/A,
อร่อยจุ่มแซบ,Google Maps,Thai,"มากินกันบ่อยมากจนพนักงานจำหน้าได้แล้ว
 😁😁😁😁😁 …",N/A,N/A,N/A,N/A,[TRUNCATED]
โค บี คิว,Google Maps,English,"Great food and great service, especially from James and the rest. Don't miss it 👍 …",POS,POS,N/A,N/A,[TRUNCATED]
SHELBY BAR,Google Maps,Thai,ร้านดี ชอบ เต็มสิบ ให้ 9.5 หักนิดนึง พนักงานตึงไปหน่อย แต่ส่วนใหญ่น่ารักครับ,N/A,NEU,N/A,N/A,
Lumi - Italian Restaurant,TripAdvisor,Thai,Good view of a photo and we love for lunch time ชอบอาหารอิตาเลียนสไตล์ พนักงานบริการดี ยิ้มแย้ม พร้อมช่วยเหลือ คุณ อิ๊ว และ คุณแอน น่ารัก,POS,POS,N/A,N/A,
Smoothie Blues,TripAdvisor,English,We enjoyed 2 supreme smoothies at this cafe after enjoying Wot Umong in Chiang Mai. Great atmosphere and the food was also very good.,POS,N/A,POS,N/A,
SHELBY BAR,Google Maps,Thai,ร้านก็ไม่ได้ใหญ่มากแต่รับลูกค้าแบบแน่นเวอร์เกิน พื้นที่เดินแทบจะไม่มีเลยต้องเบียดตัวเดิน ตรงบาร์ถ้าจะเก็บเก้าอี้ช่วงดึกก็ไม่ควรเอามาตั้งตั้งแต่แรกจะดีกว่าไหมทำเป็นแบบยืนทั้งหมดเลย …,N/A,NEG,NEG,N/A,[TRUNCATED]
Panini&Co.,Google Maps,English,"This has quickly become one of my absolute favorite spots in Chiang Mai. The panini is perfectly made and so delicious, and the owner is one of the sweetest, kindest people you’ll ever meet. It really feels like a hidden gem in the Nimman area. Just be sure to come early, as she sometimes sells out by the evening 😭 …",POS,POS,N/A,N/A,[TRUNCATED]
พ๊อตโตะ,Google Maps,English,"This is a reasonably priced hot pot restaurant for solo diners. It's a small place with only about a dozen seats. You can choose from clear broth, sukiyaki, kimchi, and tom yum soup bases. They offer à la carte and set meals. Although the selection is limited, the ingredients are fresh, and the service is excellent.",POS,POS,NEU,POS,
ต๋องเต็มโต๊ะ,TripAdvisor,English,Our hotel recommend this restaurant to us Easy walk from our hotel It’s around lunch time and we are lucky to get a table There are a lot of choices on the menu Including chicken beef pork fish vegetables The prices are reasonable and the the taste is amazing good We ordered 5 dishes and it fits 4 of us Let’s try if you are around Read less,POS,N/A,N/A,POS,
ร้านเขียวไข่กา เชียงใหม่ วัน นิมมาน,Google Maps,Thai,ร้านอาหารไทยในย่านที่วัยรุ่นและนักท่องเที่ยวสมัยนี้ต้องแวะ การจัดและตกแต่งร้านทำได้สวยถูกใจ กึ่งลอฟท์กึ่งอินดัสเทรียล แขกส่วนใหญ่จะเป็นชาวจีน ที่แวะชมและชิมก็เพราะต้องการสัมผัสบรรยากาศและอยากกินอาหารไทยที่โฆษณาว่าเป็นสูตรโบราณรสแบบไทยดั่งเดิม ผมไปนั่งกัน 2 คนสั่งอาหารไป 4 อย่าง พบว่ารสชาติอาหารจะเน้นหวานมากๆ ขนาดสั่งเมนูยำปลาทูก็ยังหวานสนิทหาความเปรี้ยวไม่ได้เลย เมนูพะโล้ก็หวานมากไม่ได้มีความเป็นแบบดั่งเดิมที่ต้องมีกลิ่นน้ำตาลไหม้หอมๆเลย น่าจะเปลี่ยนชื่อร้านเป็นมิตรผลโภชนามากกว่าจะได้สื่อความเป็นตัวตนของอาหารว่าเน้นหวาน แต่ทั้งนี้ก็แล้วแต่รสนิยมของแต่ละคน คนสมัยนี้อาจจะชอบก็ได้ แต่คนรุ่นผมไม่ชอบความหวานในอาหารเลย คือบางเมนูจะหวานก็หวานได้ตามสูตร แต่บางเมนูต้องไม่มีหวานนำโดยเด็ดขาด และอีกอย่างลูกค้าในร้าน มากกว่าครึ่งเป็นชาวจีน เขาอาจจะชอบก็ได้ มีเมนูเดียวที่ถูกปากแต่ได้ช้ามากๆคือไข่เจียวปูที่ทอดได้น่ากิน ข้างในหนานุ่มส่วนขัางนอกจะฟูกรอบแล้วโรยด้วยเนื้อปูเป็นก้อนๆ แล้วข้าวกล้องของร้านนี้เม็ดค่อนข้างหยาบแข็งแล้วไม่มียางให้เกาะกันเลย น่าจะแช่ข้าวให้นานกว่านี้แล้วค่อยนำไปหุง หรือต้องหุงให้นานกว่านี้ถึงจะดี ผมต้องแก้ปัญหาโดยสั่งข้าวขาวมาคลุกปนถึงจะคล่องขึ้น,NEG,NEG,POS,N/A,
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,English,"I arrived in Chiang Mai 2 weeks ago and have already been 5 times to Salad Concept. The idea of being able to design your own salad, and combine your favorite vegetables, toppings and dressings, is just brilliant! I was never a big fan of salads before but thanks to Salad Concept, I am realizing how yummy a healthy salad can be and how it can fill you up, totally guilt-free. I am planning on eating there as often as possible. Try the juices too, my favorite is the anti-cancer one that has wheatgrass. Anyway, rush to Salad Concept and get ready to become a happy Salad junkie.",POS,N/A,N/A,N/A,
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,Thai,"A famous salad restaurant located at Nimman road, this restaurant is famous from a variety of salad dressing (there are traditional salad dressing also) and fresh vegetable. It provides a big portion for one plate. Be calm when you order haha. ร้านสลัดชื่อดังย่านนิมมาน จุใจกับปริมาณและความหลากหลายของน้ำสลัด รอบนี้ของสั่ง wrap salad roll มาในรูปแบบสวยงาม เลือก topping ได้ตามชอบใจ เค้าจะใส่น้ำสลัดมาให้เลย กินง่ายกว่าปกติ (แต่ถ้าแตกก็เละเลย 555) ส่วนตัวชอบนะ แป้งที่ห่อมาอร่อยเลย ปริมาณเหมือนน้อย แต่กินไม่หมด เพราะสั่งอย่างอื่นด้วย ส่วนเห็ดชุปแป้งทอดอร่อยดี เนื้อเห็ดเด้งดึ๋งชิ้นโต แป้งทอดมาก็กรอบอร่อยมาก Read less",POS,N/A,N/A,N/A,
จงเฮง ก๋วยเตี๋ยวต้มยำ สาขานิมมาน ซอย 6,Google Maps,Thai,สุดยอด,N/A,N/A,N/A,N/A,[SHORT]
Anchan Vegetarian Restaurant,TripAdvisor,English,"Home style menu with really fresh curries, salads and shakes. The menu is changing too, which makes it good when your here for a while.",POS,N/A,N/A,N/A,
โกปี๊ นิมมาน อาหารเช้า,Google Maps,Thai,อาหารเช้าเมนูเบาๆสบายๆ ที่นั่งเยอะมีทั้งด้านนอกและในห้องแอร์ สั่งอาหารแบบแสกนสั่ง ที่จอดรถจะเข้าอีกทาง,NEU,NEU,POS,N/A,
Lumi - Italian Restaurant,TripAdvisor,English,"Had a great time here, lovely restaurant and nice atmosphere. Had a burrata salad and an akyra pizza which where amazing thank you Nokyung for the recommendations and impeccable service",POS,POS,POS,N/A,
Rainy's Veggie Burgers,Google Maps,English,"Great vegan burgers with special thai sauces. Located in a quiet area very close to the busy Nimman street, and the owner is an amazing person. Highly recommended!",POS,POS,POS,N/A,
Mix Beef Club & Restaurant,TripAdvisor,English,Really nice decor and a fun fusion take on Thai food. We shared several small dishes and they were all good. There is a large selection and the only minus is that they didn’t have everything on the menu available.,NEU,N/A,POS,N/A,
เฮือนเพ็ญ นิมมานเหมินทร์,TripAdvisor,English,"This place is chaotic and hot, but honestly has the best Khao Soi I've had in Thailand (and it's cheap, I think our bill was under 200 baht for two people for noodles and drinks). If you're looking for a romantic dinner experience, or even a particularly clean one, this is not it. The portions were kind of small, but the price reflects that. However, the depth of flavor of the khao soi made it worthwhile.",POS,N/A,NEG,POS,
Rock Me Burger & Bar Nimman Branch,TripAdvisor,Thai,"Rock Me Burger ถนนลอยเคราะห์ ชั้นใต้ดินโรงแรมเรือนระมิงค์ เมืองเชียงใหม่ ถนนลอยเคราะห์ ถนนสายสำคัญ เรียกได้ว่าเป็นแหล่งรวม ม ความบันเทิง รวมไปถึงวัฒนธรรมชาวล้านนา และยังมีวัดลอยเคราะห์ วัดซึ่งได้ชื่อว่า จะได้ลอยเคราะห์หรือขจัดเคราะห์ออกไป ทำให้มีแต่ความเจริญ ญรุ่งเรือง และอยู่เย็นเป็นสุข Rock Me Burger ถนนลอยเคราะห์ อีก อีกหนึ่งสาขาของ Burgers คุณภาพ หลากหลายเมนู เรียกได้ว่า คงจะเป็นตำนานเบอ อร์เกอร์ ในเมืองเชียงใหม่ ได้อย่างไม่ยาก Rock Me Burger นอกจากจะรังสรรค์เมนูความอร่อยส่งตรงสู่ลูกค้านักชิม หรือผู้บริโภค Rock Me Burger r คงมีแต่การพัฒนา ในเรื่องเมนูต่างๆที่มีรสชาติอร่อย เพื่อลูกค้าคนสำคัญจะได้ลิ้มลองเบอร์เกอร์ที่ไม่ซ้ำ แต่ก็ยังคงไว้ซึ่งแบบฉบับของ Rock Me Burger. คุณเบส รัฐวิทย์ รัตนยงค์ไพโรจน์ เจ้าของร้าน ที่ผันตัวเองจากนักร้องเพลงร็อคชื่อดัง มาเป็น เจ้าของร้านเบอร์เกอร์ที่มีRock Me Burger ถนนลอยเคราะห์ ชั้นใต้ดินโรงแรมเรือนระมิงค์ เมืองเชียงใหม่ ถนนลอยเคราะห์ ถนนสายสำคัญ เรียกได้ว่าเป็นแหล่งรวม ความบันเทิง วัฒนธรร รมของชาวล้านนา และยังมีวัดลอยเคราะห์ วัดซึ่งได้ชื่อว่าแขกผู้มาเยือนจะได้ลอยเคราะห์หรือขจัดเคราะห์ออกไป ตามความเชื่อ ทำให้มีแต่ความเจริญ ญรุ่งเรือง และอยู่เย็นเป็นสุข Rock Me Burger ถนนลอยเคราะห์ อีกหนึ่งสาขาของ Burgers คุณภาพ หลากหลายเมนู เรียกได้ว่า คงจะเป็นตำนานเบอร์เก กอร์ ในเมืองเชียงใหม่ ได้อย่างไม่ยาก Rock Me Burger นอกจากจะรังสรรค์เมนูความอร่อยส่งตรงสู่ลูกค้านักชิม หรือผู้บริโภค Rock Me Burger คงม มีแต่การพัฒนา ในเรื่องเมนูต่างๆที่มีรสชาติอร่อย เพื่อลูกค้าคนสำคัญจะได้ลิ้มลองเบอร์เกอร์ และอาหารอื่นๆ ที่ไม่ซ้ำซากจำเจ แต่ก็ยังคงไว้ซึ งแบบฉบับของ Rock Me Burger คุณเบส ที่ผันตัวเองจากนักร้องเพลงร็อคชื่อดัง มาเป็น เจ้าของร้านเบอร์เกอร์ที่มีคุณภาพที่สุด ได้แนะนำ สาขาลอ อยเคราะห์ เพื่อให้ข้าพเจ้าได้เดินทางมาชิม ในฐานะผู้ใช้บริการหรือลูกค้า ทำให้ได้สัมผัสอีก หนึ่ง คุณค่าแห่งความอร่อย และสมควรเป็นอย่างยิ่ ง ที่จะยิ้มไปกับความสำเร็จ รวมไปถึงความสุขของผู้บริโภค และจากประสบการณ์การท่องเที่ยว และมีโอกาสได้ชิม ได้สัมผัสถึงรสชาติแห่งความอร่อย ในสไตล์ตะวันตก ท่ามกลางอาหารราคาหลักร้อย แต่วิวถือได้ว่าเป็นหลักล้าน ขอแชร์ อีกหนึ่งร้านอาหารคุณภาพ ตาม Concept ของข้าพเจ้าคือ"" Love I Is All Around ด้วยการใช้ความรักที่อยู่รอบตัวมาดำเนินธุรกิจ และเชื่อมั่นว่า Rock Me Burger จะยืนหยัด สร้างความสุขและความอร่อย คู่เมืองเช ชียงใหม่ Read less",POS,N/A,POS,NEU,
Go Green Caf? & Restaurant,Google Maps,Thai,กาแฟอร่อยมาก อาหารอร่อย โดยเฉพาะกระเพราหมูย่างและเต้าหู้ทอด ช่วงนี้จัดโปรอาหารคู่กับเครื่องดื่มด้วยราคาโดนใจ,POS,N/A,N/A,POS,
Lumi - Italian Restaurant,TripAdvisor,Thai,Ann and iyu Thank you very much. The food is good. บรรยากาศดีร่มรื่น สถานที่สะอาด บริการดี พนักงานตอนรับดีมากมากๆเลย,N/A,POS,POS,N/A,
Lumi - Italian Restaurant,TripAdvisor,English,"The food was delicious, kind and great service in a beautiful restaurant with cool design. We had a fantastic dinner, highly recommend!",POS,POS,POS,N/A,
Uchi Japanese Gastro Chiang Mai,TripAdvisor,English,Lovly place customer service was wonderful cocktail very unique i went many times for hang out somewhere on no plan with my friend always see tour list in restaurant good atmosphere :),POS,POS,POS,N/A,
เฮือนเพ็ญ นิมมานเหมินทร์,TripAdvisor,English,"The food is just great although portions are rather small and the amount of chili might be too much for some people. For a truly unique experience, order the set menu (USD 12 for two) and try to reserve the cushioned bed right next to the entrance. It's so much fun sitting in there and taste those Northern Thai delights.",NEU,N/A,POS,NEU,
Pizza my Heart @ nimman,TripAdvisor,English,"We came for lunch, ordered pizza, pesto pasta, greek salad and chicken wings. All the dishes came in time and very fresh, especially the greek salad. The staff was super super nice!! The nicest restaurant staff I have met they even helped us order a taxi and gave us suggestions for places to visit. Definitely would recommend a visit :)",POS,POS,N/A,N/A,
Why Not?,TripAdvisor,English,"Perfect pasta and pizza, great choice of wine and good central location. Can definitely receommend and will be back.",POS,N/A,POS,N/A,
Beer Lab,Google Maps,English,Card machine doesn’t accept wise or rev. Really annoying please buy a modern machine and not something 20 years old,N/A,NEG,N/A,N/A,
Why Not?,TripAdvisor,English,"From the expansive menu to the solid service and many authentic details, Why Not was a happy discovery tonight. My lasagna and my friend's tagliatelle were both delicious. Our bottle of Chianti, while pricey, elevated the meal to the next level. They even have all the classic Italian desserts ... or maybe chocolate lava cake is not a classic Italian dessert, but it sure tasted good. We will return!",POS,POS,N/A,NEU,
ข้าวมันไก่ โกยี,Google Maps,English,"Being from Singapore where chicken rice standards are pretty high, my breakfast experience here was pretty good. It had the authenticity of a really good home cooked white skin chicken rice. The chili sauce was great and the rice was decent though not as fatty and flavorful as the singapore version. For the price, I would return again if I am in chaingmai.",NUE,N/A,N/A,POS,
Molto Buono Pizza by Pizza Lady,Google Maps,Thai,สายอิตาเลียน​,NEU,N/A,N/A,N/A,[SHORT]
